word1,op1,word2,op2,word3,skipgram_ns_word,skipgram_hs_word,cbow_ns_word,cbow_hs_word
rotate,,uss,,albania,departed,departed,minted,anecdotal
humber,,perils,,lakewood,hodgson,hodgson,obstructions,cerie
alphonso,,åberget,,socks,södra,södra,tous,cosmological
coiner,,digs,,distributions,tyrwhitt,tyrwhitt,relaying,thao
charted,,merging,,singles,thorny,thorny,jayatilleke,sylvanus
griesemer,,withdraws,,tunneling,chaffetz,chaffetz,mortimer,indistinct
katra,,workouts,,arm,loanword,loanword,1843,reunification
morphemes,,verso,,specialise,suba,suba,futurama,weitz
connelly,,reagent,,codons,oates,oates,irrevocable,mulligan
chattanooga,,trajan,,pickled,jeckeln,jeckeln,webisode,heinrich
kennington,,wetter,,recess,upland,upland,resettle,nursing
cooing,,helmand,,037,grieg,grieg,professorship,mukai
shallows,,traded,,ceremonial,optioned,optioned,amended,steals
africanus,,shinplasters,,quotas,crassweller,crassweller,polow,jana
newsday,,retina,,segregation,autograph,autograph,sherbrooke,hackers
daddy,,competitions,,1119,tournaments,tournaments,gillson,pun
belmont,,anthochaera,,spy,castanea,castanea,horace,thicknesses
sedimentation,,horrible,,sect,unstoppable,unstoppable,carthaginian,seward
uncompromising,,embraces,,saviour,poignant,poignant,telegraphic,picnic
pleased,,available,,1907,linked,linked,northumbrian,dalglish
pressure,,fagrskinna,,development,voltages,voltages,parishioners,conceals
playthrough,,standardisation,,omloop,étage,étage,portsmouth,newtown
macedonian,,stilianou,,sharps,balkan,balkan,clinicians,grenier
crosses,,tomasevich,,meru,intersects,intersects,ninpo,damning
stiffer,,antebellum,,overseer,orienteering,orienteering,neeson,sisko
emanated,,protocols,,counterattacked,fursuit,fursuit,miley,dawson
arête,,mechanized,,melodramas,sustainment,sustainment,refutes,indivisible
purged,,stars,,allentown,star,star,james,one
rubenstein,,grande,,heavily,ronde,ronde,indigofera,658
giordano,,feeble,,archival,statham,statham,brioni,nonfiction
