threshold,fpr,tpr
inf,0.00000000,0.00000000
0.83844107,0.00000000,0.00008000
0.81529140,0.00000000,0.00096000
0.81459278,0.00000000,0.00112000
0.81518292,0.00000000,0.00104000
0.83208853,0.00000000,0.00024000
0.83360267,0.00000000,0.00016000
0.83109695,0.00000000,0.00032000
0.81894600,0.00000000,0.00088000
0.81984770,0.00000000,0.00080000
0.82568151,0.00000000,0.00048000
0.82025599,0.00000000,0.00072000
0.82086182,0.00000000,0.00064000
0.82536161,0.00000000,0.00056000
0.82774597,0.00000000,0.00040000
0.81345892,0.00008000,0.00112000
0.81238455,0.00008000,0.00120000
0.81147027,0.00016000,0.00120000
0.80789763,0.00024000,0.00160000
0.80748791,0.00024000,0.00168000
0.80714601,0.00024000,0.00176000
0.81140953,0.00024000,0.00120000
0.81124169,0.00024000,0.00128000
0.81122410,0.00024000,0.00136000
0.81040299,0.00024000,0.00144000
0.80918634,0.00024000,0.00152000
0.80440903,0.00032000,0.00240000
0.80569333,0.00032000,0.00232000
0.80589581,0.00032000,0.00224000
0.80619454,0.00032000,0.00216000
0.80631518,0.00032000,0.00208000
0.80660158,0.00032000,0.00200000
0.80319726,0.00032000,0.00264000
0.80314565,0.00032000,0.00272000
0.80279315,0.00032000,0.00280000
0.80202937,0.00032000,0.00288000
0.80357689,0.00032000,0.00256000
0.80707705,0.00032000,0.00176000
0.80695587,0.00032000,0.00184000
0.80669075,0.00032000,0.00192000
0.80413002,0.00032000,0.00248000
0.80122638,0.00040000,0.00304000
0.80199164,0.00040000,0.00288000
0.80137038,0.00040000,0.00296000
0.80100614,0.00040000,0.00312000
0.79950887,0.00048000,0.00344000
0.80060947,0.00048000,0.00312000
0.80015248,0.00048000,0.00320000
0.79792547,0.00048000,0.00408000
0.79906595,0.00048000,0.00376000
0.79869139,0.00048000,0.00392000
0.79840952,0.00048000,0.00400000
0.79941434,0.00048000,0.00360000
0.79945022,0.00048000,0.00352000
0.80013692,0.00048000,0.00328000
0.79993278,0.00048000,0.00336000
0.79923123,0.00048000,0.00368000
0.79881096,0.00048000,0.00384000
0.79733217,0.00056000,0.00416000
0.79737663,0.00056000,0.00408000
0.79727781,0.00064000,0.00416000
0.79724091,0.00072000,0.00416000
0.79632735,0.00072000,0.00440000
0.79695576,0.00072000,0.00432000
0.79705489,0.00072000,0.00424000
0.79563421,0.00080000,0.00456000
0.79575282,0.00080000,0.00448000
0.79593170,0.00080000,0.00440000
0.79461974,0.00088000,0.00472000
0.79451495,0.00088000,0.00480000
0.79500622,0.00088000,0.00456000
0.79495585,0.00088000,0.00464000
0.79440308,0.00088000,0.00496000
0.79446858,0.00088000,0.00488000
0.79413670,0.00096000,0.00520000
0.79383826,0.00096000,0.00528000
0.79428512,0.00096000,0.00496000
0.79418296,0.00096000,0.00512000
0.79422081,0.00096000,0.00504000
0.79331243,0.00096000,0.00552000
0.79381830,0.00096000,0.00536000
0.79357648,0.00096000,0.00544000
0.79298693,0.00104000,0.00552000
0.79239160,0.00112000,0.00568000
0.79147923,0.00112000,0.00600000
0.79246783,0.00112000,0.00560000
0.79192978,0.00112000,0.00584000
0.79220575,0.00112000,0.00576000
0.79105383,0.00112000,0.00608000
0.79012269,0.00112000,0.00624000
0.79083276,0.00112000,0.00616000
0.79149634,0.00112000,0.00592000
0.79006833,0.00112000,0.00640000
0.79010046,0.00112000,0.00632000
0.79264659,0.00112000,0.00552000
0.78985584,0.00120000,0.00640000
0.78918064,0.00128000,0.00640000
0.78900921,0.00136000,0.00640000
0.78881150,0.00144000,0.00640000
0.78855091,0.00144000,0.00656000
0.78851563,0.00144000,0.00664000
0.78847849,0.00144000,0.00672000
0.78877395,0.00144000,0.00648000
0.78793842,0.00152000,0.00672000
0.78788888,0.00160000,0.00672000
0.78732133,0.00168000,0.00688000
0.78781170,0.00168000,0.00672000
0.78738075,0.00168000,0.00680000
0.78704345,0.00176000,0.00696000
0.78714883,0.00176000,0.00688000
0.78663015,0.00176000,0.00704000
0.78636533,0.00176000,0.00720000
0.78640544,0.00176000,0.00712000
0.78597146,0.00176000,0.00728000
0.78588736,0.00184000,0.00728000
0.78520501,0.00192000,0.00728000
0.78497458,0.00200000,0.00736000
0.78511900,0.00200000,0.00728000
0.78497136,0.00200000,0.00744000
0.78483027,0.00200000,0.00752000
0.78466642,0.00208000,0.00760000
0.78478914,0.00208000,0.00752000
0.78451228,0.00208000,0.00768000
0.78444964,0.00216000,0.00768000
0.78443378,0.00224000,0.00768000
0.78441900,0.00224000,0.00776000
0.78366810,0.00232000,0.00800000
0.78400534,0.00232000,0.00784000
0.78367013,0.00232000,0.00792000
0.78365803,0.00232000,0.00808000
0.78427976,0.00232000,0.00776000
0.78342956,0.00240000,0.00824000
0.78307515,0.00240000,0.00840000
0.78311735,0.00240000,0.00832000
0.78280586,0.00240000,0.00848000
0.78343189,0.00240000,0.00816000
0.78354722,0.00240000,0.00808000
0.78273994,0.00248000,0.00848000
0.78166848,0.00256000,0.00896000
0.78177714,0.00256000,0.00888000
0.78164339,0.00256000,0.00904000
0.78251666,0.00256000,0.00848000
0.78193527,0.00256000,0.00880000
